job_title,company,location,description,job_url,salary,company_logo,rating,experience,skills,source
Desktop and Site Support Engineer,TP,"Mohali, Punjab","Join Teleperformance – Where Excellence Meets Opportunity!

Teleperformance is a leading provider of customer experience management, offering premier omnichannel support to top global companies. Our diverse service locations, including on-site and work-at-home programs, ensure flexibility and broad reach.

Why Choose Teleperformance?

We emphasize the importance of our employees, fostering enduring relationships within our teams and communities. Our dedication to employee satisfaction distinguishes us.

Utilize advanced support technologies and processes engineered to achieve outstanding results.

We cultivate lasting client relationships and make positive contributions to our local communities.

Become Part of an Exceptional Team!

Join Teleperformance, where our world-class workforce and innovative solutions drive success. Experience a workplace that values your development, supports your goals, and celebrates your accomplishments.

Job Description

Responsible for providing day-to-day technical support to employees for a range of hardware and software related systems. Responds to and diagnoses problems through discussion with users, which includes trouble shooting, fault rectification and problem escalation. Provides effective and timely resolution of users’ problems, queries or complaints. Assists in hardware and software evaluation and recommends upgrades or improvements to IT infrastructure.
Positions on this level are fully proficient in executing established standards. Works independently within set frames and follows set course. Has a knowledge base typically acquired from a professional/university degree and approximately 1-2 years of practical professional experience in a particular area. Develops own knowledge, shares best practice and develops relevant/appropriate solutions. Positions at this level are expected to continuously improve the day-to-day activities/processes.

Can be a formal team leader of more junior co-workers and may set day-to-day operational objectives.

Be One of Our People:
It is our mission to always provide an environment where our employees feel valued, inspired, and supported, so that they can bring their best selves to work every day. We believe that when employees are happy and healthy, they are more productive, creative, and engaged. We are committed to providing a workplace that is conducive to happiness and a healthy work-life balance. We also believe that to be our best selves, we need to be surrounded by people who are positive, supportive, and challenging. We are committed to creating a culture of inclusion and diversity, where everyone feels welcome and valued. Teleperformance is an Equal Opportunity Employer

Job Application Accommodation:
If you have questions or need an accommodation for any disability during this application, please contact your local Teleperformance location for assistance.",https://in.indeed.com/viewjob?jk=4a0442f7d58ca081,"₹25,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0b8c71217e69f4949cbf35061e958510,3.6,2-3 years,Remote Bachelor's degree Work from home nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Project Manager (Data Analyst),Mobilestyx Consulting and Solutions LLP,"Mumbai, Maharashtra","*Job Title:* IT Project Manager (Data Analyst)
*Location:* Mira Road, Mumbai
*Experience:* 2–6 years

*Job Description:*
We are seeking an experienced *IT Project Manager* with a strong background in *custom software development* to manage full project lifecycles — from requirement gathering to deployment. The ideal candidate should have in-depth knowledge of SDLC, Agile methodologies, and stakeholder management to ensure projects are delivered on time, within scope, and within budget.

*Key Responsibilities:*

* Lead and manage end-to-end software development projects.
* Define project scope, objectives, deliverables, and timelines with stakeholders.
* Develop detailed project plans, allocate resources, and manage budgets.
* Identify risks, resolve issues, and implement mitigation strategies.
* Coordinate cross-functional teams (developers, QA, designers, analysts).
* Track progress through KPIs and provide regular project status updates.
* Facilitate Agile ceremonies (sprint planning, stand-ups, reviews, retrospectives).
* Ensure quality, security, and compliance standards are maintained.
* Manage change requests and prevent scope creep.
* Mentor team members and foster a collaborative work environment.

*Required Qualifications & Skills:*

* 2–6 years of experience managing IT/software development projects
* Proven end-to-end project management of custom software solutions
* Expertise in Agile, Scrum, Kanban, and Waterfall methodologies
* Hands-on experience with Jira, Trello, Zoho, or similar tools
* Technical understanding of PHP, Java, .NET, Python, and Android/iOS
* Strong knowledge of SDLC, DevOps, and CI/CD workflows
* Experience in risk management, budgeting, and resource allocation
* Strong leadership, communication, and documentation skills
* Data analysis experience using Power BI, Tableau, advanced SQL, and advanced Excel

*Preferred Qualifications:*

* Certifications: PMP, PRINCE2, CSM, or equivalent.
* Experience with cloud platforms (AWS, Azure, Google Cloud).
* Background in enterprise or SaaS application development.
* Understanding of APIs, microservices, and database systems.
* Awareness of cybersecurity and compliance best practices.

Job Types: Full-time, Permanent

Pay: ₹30,000.00 - ₹80,000.00 per month

Benefits:
* Provident Fund



Application Question(s):
* Where do you reside in Mumbai?
* Current CTC
* Do you have experience working with a team of Data Analysts?

Experience:
* IT project management: 2 years (Preferred)
* Tableau: 2 years (Preferred)

Work Location: In person",https://in.indeed.com/viewjob?jk=a866cea63708cf12,"₹30,000 - ₹80,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Mobilestyx+Consultin,0.0,4-5 years,Jira Power BI Permanent Microsoft Excel Azure Provident Fund Waterfall PMP Kanban Software deployment DevOps iOS Trello Data analysis skills Full-time Google Cloud Platform Tableau .NET Java Application development Microservices SQL PHP AWS Project management IT project management Continuous integration Scrum Software development APIs Agile Budgeting In-person SaaS Communication skills Python SDLC PRINCE2 Certification,Indeed
IT Home Agent Support Specialist,TP,"Gurugram, Haryana","Join Teleperformance – Where Excellence Meets Opportunity!

Teleperformance is a leading provider of customer experience management, offering premier omnichannel support to top global companies. Our diverse service locations, including on-site and work-at-home programs, ensure flexibility and broad reach.

Why Choose Teleperformance?

We emphasize the importance of our employees, fostering enduring relationships within our teams and communities. Our dedication to employee satisfaction distinguishes us.

Utilize advanced support technologies and processes engineered to achieve outstanding results.

We cultivate lasting client relationships and make positive contributions to our local communities.

Become Part of an Exceptional Team!

Join Teleperformance, where our world-class workforce and innovative solutions drive success. Experience a workplace that values your development, supports your goals, and celebrates your accomplishments.

Job Description

Responsible for providing day-to-day technical support to employees for a range of hardware and software related systems. Responds to and diagnoses problems through discussion with users, which includes trouble shooting, fault rectification and problem escalation. Provides effective and timely resolution of users’ problems, queries or complaints. Assists in hardware and software evaluation and recommends upgrades or improvements to IT infrastructure.
Positions on this level have comprehensive knowledge of the specific discipline or the broader area in which the position operates. Executes specialized projects and activities and typically works according to set principles. Usually generates and initiates own workload and doesn't need instructions or guidelines. Might supervise work of less experienced professionals providing professional expertise and taking responsibility for the end-product. Positions at this level are expected to significantly improve the day-to-day activities/processes.

Manages and oversees the implementation of short-term activities within the team. Decisions are of an operational nature within a defined scope. Positions on this level delivers their share of professional responsibilities focusing on professional excellence. Typically manages a team of Individual Contributor co-workers.

Be One of Our People:
It is our mission to always provide an environment where our employees feel valued, inspired, and supported, so that they can bring their best selves to work every day. We believe that when employees are happy and healthy, they are more productive, creative, and engaged. We are committed to providing a workplace that is conducive to happiness and a healthy work-life balance. We also believe that to be our best selves, we need to be surrounded by people who are positive, supportive, and challenging. We are committed to creating a culture of inclusion and diversity, where everyone feels welcome and valued. Teleperformance is an Equal Opportunity Employer

Job Application Accommodation:
If you have questions or need an accommodation for any disability during this application, please contact your local Teleperformance location for assistance.",https://in.indeed.com/viewjob?jk=985f61a49e483917,"₹25,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0b8c71217e69f4949cbf35061e958510,3.6,4-5 years,Full-time Remote Work from home nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Consultant - Q3 (Google BigQuery Admin),Infosys,"Bengaluru, Karnataka","Key Responsibilities:

A day in the life of an Infoscion
As part of the Infosys delivery team your primary role would be to interface with the client for quality assurance issue resolution and ensuring high customer satisfaction
You will understand requirements create and review designs validate the architecture and ensure high levels of service offerings to clients in the technology domain
You will participate in project estimation provide inputs for solution delivery conduct technical risk planning perform code reviews and unit test plan reviews
You will lead and guide your teams towards developing optimized high quality code deliverables continual knowledge management and adherence to the organizational guidelines and processes
You would be a key contributor to building efficient programs systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you
If you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you

Technical Requirements:

Technologies Bigdata RDBMS Google BigQuery admin

Preferred Skills:
Technology->Cloud Platform->GCP Database->Google BigQuery",https://in.indeed.com/viewjob?jk=00c3f82ff64b2d87,"₹50,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3da3b97b6f16b9eaf7b736ff548625f2,3.8,0-1 years,RDBMS B.Sc Quality assurance Bachelor's degree B.E. nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Senior Manager - IT,ISAD Group,"Noida, Uttar Pradesh","*Job Title:* Senior Manager – Information Technology

*Location:* Noida Sector 90

*Job Summary:*
The Senior Manager – IT will lead IT infrastructure and ERP operations, ensuring secure, cost-effective, and high-performance technology support aligned with business objectives.

*Key Responsibilities:*

· Oversee the annual IT budget, ensuring optimal cost efficiency and resource utilization.

· Monitor and maintain server hardware, software, and operating systems to ensure maximum uptime and performance.

· Plan and implement technology installations, upgrades, and maintenance activities.

· Evaluate, procure, and manage IT hardware, software, and infrastructure as per business needs.

· Test, troubleshoot, and optimize IT systems for efficiency, security, and stability.

· Prepare and present performance and service desk reports.

· Ensure compliance with IT policies, laws, and regulatory standards.

· Assess technology risks and develop disaster recovery and backup strategies.

· Stay updated with emerging technologies and industry best practices.

· Act as the primary escalation point for critical IT issues and ensure timely resolution.

· Manage vendor relationships and coordinate with external partners.

· Administer Microsoft 365 Admin Center, including user management, security, and productivity tools.

· Lead *ERP (Farvision / 4QT / Tally)* implementation, support, user access, and training.

· Manage IT teams, cross-functional coordination, and service delivery.

*Skills & Requirements:*

· Strong expertise in IT infrastructure, ERP systems, and network security.

· Experience with SQL databases and cloud technologies.

· Excellent leadership, troubleshooting, and communication skills.

· Graduate with 12+ years of experience in IT/ERP management (real estate preferred)

INTERESTED CANDIDATE CAN SHARE RESUME AT 8368301442

Job Type: Full-time

Pay: ₹60,000.00 - ₹90,000.00 per month



Application Question(s):
* Real Estate Industry Experience?
* Are you fine with noida sector 90 location?

Experience:
* IT management: 10 years (Required)
* ERP systems: 8 years (Preferred)
* 4qt: 5 years (Preferred)
* IT budget: 6 years (Preferred)
* Network security: 5 years (Preferred)

Work Location: In person",https://in.indeed.com/viewjob?jk=d0843bd06a17b420,"₹60,000 - ₹90,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=ISAD+Group,0.0,3-4 years,Tally Management IT management ERP systems Full-time Databases SQL Bachelor's degree In-person Communication skills Network security nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Asset Specialist,"Air Distribution Technologies, Inc","Pune, Maharashtra","ESSENTIAL DUTIES AND RESPONSIBILITIES:

Inventory Management: Maintain a detailed inventory of all IT assets, including hardware and software.
Procurement: Coordinate the acquisition of new assets based on organizational needs.
Lifecycle Management: Oversee the entire lifecycle of IT assets, from acquisition to disposal.
Compliance: Ensure all assets comply with organizational policies and vendor contracts.
Cost Optimization: Develop strategies to optimize technology spending and eliminate waste.
Policy Development: Create and implement policies for asset management.
Data Management: Maintain databases and records of licenses, service agreements, and warranties.
Budget Planning: Ensure the IT department’s budget is adhered to, ensuring alignment with organizational goals.
Financial Analysis: Conduct cost-benefit analyses and financial forecasting to support decision-making.
Other duties as assigned.",https://in.indeed.com/viewjob?jk=d899da80eb16737d,"₹50,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/41643db958e5221e54758211f74b004e,2.7,4-5 years,Full-time Hybrid work nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Associate Consultant - IT (Desktop Engineer),Black Box,"Bengaluru, Karnataka","Job Responsibilities:

Configure, test, and deploy hardware and software to users both locally and remotely.
Diagnose and resolves problems related to the operation of PCs on the network.
Troubleshoot and repair break/fix issues.
Configure, troubleshoot and support Video Conferencing systems used for corporate broadcasts.
Provide solutions to user issues by identifying problems, researching answers, and helping to implement.
Train users in basic problem resolution and understanding of how to make efficient use of their PCs.
Respond to user requests and service issues in a timely and professional manner.
Provide support via phone using remote support software.
Create, monitor, update, and close tickets using Service Now ticketing system.
Adhere to Black Box corporate, technology and security policies at all times while performing daily functions.
Remain current on technical and operational details concerning PC products and support.",https://in.indeed.com/viewjob?jk=e91536236c94700e,"₹45,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/faeee4434c0bc0e51baa09f25b4d13c2,3.3,4-5 years,Full-time ServiceNow nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Operations Infrastructure Consultant [Prometheus & Grafana] - EG CloudOps,EG Danmark A/S,"Mangalore, Karnataka","At EG, we develop software for our customers so they can focus on their profession.

Our industry-specific software is built by peers from the industry, and backed by the scale of EG for stability, innovation, and security.

We are committed to advancing industries by tackling big challenges such as resource use, efficiency, and sustainability.

We are a thriving global workforce of 3000+ employees, with a 850+ strong team based in Mangaluru, India. We have a people first culture fostering innovation, collaboration and continuous learning

Join us in creating software that works for people, not software that makes people work. Visit our career page to meet some of your future colleagues, explore our culture, and watch our video ""We Make a Difference"".",https://in.indeed.com/viewjob?jk=5e52078a50d26b95,"₹40,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=EG+Danmark+A%2FS,4.1,0-1 years,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Project Manager (Service based),Mobilestyx Consulting and Solutions LLP,"Mumbai, Maharashtra","*Job Title:* IT Project Manager
*Location:* Mira Road, Mumbai
*Experience:* 3–5 years

*Job Description:*
We are seeking an experienced *IT Project Manager* with a strong background in *custom software development* to manage full project lifecycles — from requirement gathering to deployment. The ideal candidate should have in-depth knowledge of SDLC, Agile methodologies, and stakeholder management to ensure projects are delivered on time, within scope, and within budget.

*Key Responsibilities:*

* Lead and manage end-to-end software development projects.
* Define project scope, objectives, deliverables, and timelines with stakeholders.
* Develop detailed project plans, allocate resources, and manage budgets.
* Identify risks, resolve issues, and implement mitigation strategies.
* Coordinate cross-functional teams (developers, QA, designers, analysts).
* Track progress through KPIs and provide regular project status updates.
* Facilitate Agile ceremonies (sprint planning, stand-ups, reviews, retrospectives).
* Ensure quality, security, and compliance standards are maintained.
* Manage change requests and prevent scope creep.
* Mentor team members and foster a collaborative work environment.

*Required Qualifications & Skills:*

* 3-5 years of experience managing IT/software development projects.
* Proven track record in full-cycle project delivery.
* Strong grasp of Agile, Scrum, Kanban, and Waterfall methodologies.
* Proficiency in project management tools (Jira, Trello, Zoho).
* Technical understanding of PHP, Java, .NET, Python, Android/iOS platforms.
* Familiarity with SDLC, DevOps, and CI/CD processes.
* Excellent leadership, problem-solving, and communication skills.
* Experience in risk management, budgeting, and documentation.

*Preferred Qualifications:*

* Certifications: PMP, PRINCE2, CSM, or equivalent.
* Experience with cloud platforms (AWS, Azure, Google Cloud).
* Background in enterprise or SaaS application development.
* Understanding of APIs, microservices, and database systems.
* Awareness of cybersecurity and compliance best practices.

Job Types: Full-time, Permanent

Pay: ₹40,000.00 - ₹75,000.00 per month

Benefits:
* Provident Fund



Application Question(s):
* Where do you reside in Mumbai?
* Current CTC
* Do you have experience working in a service-based IT company?

Experience:
* IT project management: 2 years (Preferred)
* IT Industry: 2 years (Preferred)

Work Location: In person",https://in.indeed.com/viewjob?jk=472719e448f116ba,"₹40,000 - ₹75,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Mobilestyx+Consultin,0.0,1-2 years,Jira CI/CD Permanent Azure Provident Fund Waterfall iOS development PMP Kanban Software deployment DevOps iOS Trello Full-time Google Cloud Platform .NET Java Application development Microservices PHP AWS Project management IT project management Continuous integration Risk management Software development APIs Agile Budgeting In-person SaaS Communication skills Python SDLC PRINCE2 Certification nan nan nan,Indeed
"Spec, IT",Baxter,"Bengaluru, Karnataka","This is where your work makes a difference.

At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.

Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.

Here, you will find more than just a job—you will find purpose and pride.

Job Summary

Perform development work and technical support related to our data transformation and ETL jobs in support of a global data warehouse. Can communicate results with internal customers. Requires the ability to work independently, as well as in cooperation with a variety of customers and other technical professionals.

What you'll be doing

Development of new ETL/data transformation jobs, using PySpark and IBM DataStage in AWS.

Enhancement and support on existing ETL/data transformation jobs.

Can explain technical solutions and resolutions with internal customers and communicate feedback to the ETL team.

Perform technical code reviews for peers moving code into production.

Perform and review integration testing before production migrations.

Provide high level of technical support, and perform root cause analysis for problems experienced within area of functional responsibility.

Can document technical specs from business communications.

What you'll bring

5+ years of ETL experience.

Experience with core Python programming for data transformation.

Intermediate-level PySpark skills. Can read, understand and debug existing code and write simple PySpark code from scratch.

Strong knowledge of SQL fundamentals, understanding of subqueries, can tune queries with execution hints to improve performance.

IBM DataStage experience preferred.

Able to write SQL code sufficient for most business requirements for pulling data from sources, applying rules to the data, and stocking target data

Proven track record in troubleshooting ETL jobs and addressing production issues like performance tuning, reject handling, and ad-hoc reloads.

Proficient in developing optimization strategies for ETL processes.

Basic AWS technical support skills. Has ability to log in, find existing jobs and check run status and logs

Will run and monitor jobs running via Control-M

Can create clear and concise documentation and communications.

Can document technical specs from business communications.

Ability to coordinate and aggressively follow up on incidents and problems, perform diagnosis, and provide resolution to minimize service interruption

Ability to prioritize and work on multiple tasks simultaneously

Effective in cross-functional and global environments to manage multiple tasks and assignments concurrently with effective communication skills.

A self-starter who can work well independently and on team projects.

Experienced in analyzing business requirements, defining the granularity, source to target mapping of the data elements, and full technical specification.

Understands data dependencies and how to schedule jobs in Control-M.

Experienced working at the command line in various flavors of UNIX, with basic understanding of shell scripting in bash and korn shell.

Education and/or Experience

Bachelors of Science in computer science or equivalent

5+ years of ETL and SQL experience

3+ years of python and PySpark experience

3+ years of AWS and unix experience

2+ years of IBM DataStage experience

Preferred certifications: AWS Certified Cloud Practitioner (amazon.com)Certified DataStage ProfessionalPython and PySpark certifications

AWS Certified Cloud Practitioner

The AWS Certified Cloud Practitioner validates foundational, high-level understanding of AWS Cloud, services, and terminology.

Equal Employment Opportunity

Baxter is an equal opportunity employer. Baxter evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability/handicap status or any other legally protected characteristic.

Reasonable Accommodations

Baxter is committed to working with and providing reasonable accommodations to individuals with disabilities globally. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please click on the link here and let us know the nature of your request along with your contact information.

Recruitment Fraud Notice

Baxter has discovered incidents of employment scams, where fraudulent parties pose as Baxter employees, recruiters, or other agents, and engage with online job seekers in an attempt to steal personal and/or financial information. To learn how you can protect yourself, review our Recruitment Fraud Notice.",https://in.indeed.com/viewjob?jk=9a5bece889c35b5d,"₹30,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/42c37ea3107101faba187769750e5140,3.7,4-5 years,DataStage Computer Science B.Sc UNIX Full-time Technical support Bash (Unix shell) SQL AWS Bachelor's degree Scripting ETL Business requirements AWS Certified Cloud Practitioner – Foundational Communication skills Python Shell Scripting Control-M nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Executive - IT Audit,KPMG,"Chennai, Tamil Nadu","JOB DESCRIPTION

About KPMG in India

KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada.

KPMG entities in India offer services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focused and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment.

IT Internal Audit or IT attestation skills

Equal employment opportunity information

KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their color, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you.
QUALIFICATIONS

Graduate",https://in.indeed.com/viewjob?jk=325300c08abb0937,"₹30,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d7b7fd1f635973534d21ba35d6f99c18,3.9,0-1 years,Full-time Bachelor's degree nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
AM - IT,Accor,"Bengaluru, Karnataka","Company Description

Strategically located in the heart of the IT corridor- Novotel Bengaluru Outer Ring Road brings to you different categories of beautiful rooms that are sleek and contemporary designed, full of modern day amenities suitable for your stay. In proximity to numerous IT parks and corporate hubs notably- Ecospace Business Park, Prestige Techpark, Cessna Business Park, Salarpuria Techparks- Novotel Bengaluru Outer Ring Road offers the perfect residence to travelers across the globe.

Nearby to corporate offices- JP Morgan, Accenture, Honeywell, Deloitte and many more along Sarjapur Road and Marathahalli, Novotel Bengaluru Outer Ring Road brings to you seamless benefits of hosting events and conferences in well-equipped meeting spaces. Bengaluru, besides the Silicon Valley of the country, is close to some of the most significant historical and leisure destinations in South India- Mysore, Coorg, Goa, Munnar, Ooty, Pondicherry to name a few among the long list of leisure destinations.

Job Description

Manage the implementation and maintenance of information systems, data processing systems and procedures for the hotel that includes databases, network administration, applications programming, web design and user support systems.
Interface and coordinate with external clients to meet IS objectives.
Analyze user needs and establish procedures for the information systems.
Ensure that all Software Licenses and laws are adhered to.
Plan, direct and control all day-to-day information systems functions.
Plan and approve equipment and software purchases related to systems (operating systems, related software, storage devices, etc.).
Establish and maintain seamless co-ordination & co-operation with all departments of the hotel to ensure maximum cooperation, productivity, morale and guest service.
Develop and maintain effective relationships with all the departments.
Respond to queries by resolving issues in a timely and efficient manner.
Ensure that the team has been trained for all safety provisions.
Ensure that all personnel are kept well informed of department’s objectives and policies.
Motivate and develop team to ensure smooth functioning of the department and promote teamwork.
Prepare operational reports and analyze new trends.
Identify optimal, cost effective use of the resources and educate the team on the same.
Determine fiscal and physical requirements for all the departments of the hotel prepare budgetary recommendations.
Conduct periodic and annual inventory audits of the equipment & recommend replacement of equipment as required.
Direct and coordinate database management, network administration and user support services
Liaise with external agencies and equipment manufacturers to ensure effective management of the department.
Ensure the smooth running of all systems, printer, anti-virus software, and e-mail facilities.
Ensure to approve and recommend technology equipment and software as per the requirements.
To assign duties, inspect work, and investigate complaints regarding service and equipment and hence take corrective action.
Coordinate operations with Department Coordinators, Supervisors and other Departmental Managers to ensure operational readiness, efficiency in resource utilization and the prompt delivery of services.

Qualifications

University degree in Computer Science, Information Technology, or a related field
Minimum of 5 years' experience in IT management and 1 year experience in similar role
Proven track record of successfully managing IT operations and driving technological improvements
Experience with project management and IT service delivery
Familiarity with IT governance frameworks
Understanding of cloud computing technologies and services
Proficiency in using relevant IT systems and software
Strong leadership skills with the ability to motivate and develop a high-performing team
Outstanding communication and interpersonal skills, with the ability to interact effectively with staff and stakeholders at all levels
Ability to work efficiently under pressure in a fast-paced environment
Relevant IT certifications are desirable

Additional Information

What is in it for you:

Employee benefit card offering discounted rates in Accor worldwide for you and your family
Learning programs through our Academies designed to sharpen your skills
Ability to make a difference through our Corporate Social Responsibility activities, like Planet 21
Career development opportunities with national and international promotion opportunities.

Why work for Accor?

We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.
By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/

Do what you love, care for the world, dare to challenge the status quo! #BELIMITLESS",https://in.indeed.com/viewjob?jk=950efd05db51fb7a,"₹30,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eaff30a751d077870ddf324a72d24ea6,4.0,1-2 years,Network administration Management Computer Science IT management IT service management Full-time Project management Bachelor's degree Cloud computing Leadership Communication skills Information Technology nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Help Desk Intern,NCR Atleos,"Mumbai, Maharashtra","About NCR Atleos

NCR Atleos, headquartered in Atlanta, is a leader in expanding financial access. Our dedicated 20,000 employees optimize the branch, improve operational efficiency and maximize self-service availability for financial institutions and retailers across the globe.

Standard new grad JD

Offers of employment are conditional upon passage of screening criteria applicable to the job.

EEO Statement
NCR Atleos is an equal-opportunity employer. It is NCR Atleos policy to hire, train, promote, and pay associates based on their job-related qualifications, ability, and performance, without regard to race, color, creed, religion, national origin, citizenship status, sex, sexual orientation, gender identity/expression, pregnancy, marital status, age, mental or physical disability, genetic information, medical condition, military or veteran status, or any other factor protected by law.

Statement to Third Party Agencies

To ALL recruitment agencies: NCR Atleos only accepts resumes from agencies on the NCR Atleos preferred supplier list. Please do not forward resumes to our applicant tracking system, NCR Atleos employees, or any NCR Atleos facility. NCR Atleos is not responsible for any fees or charges associated with unsolicited resumes.",https://in.indeed.com/viewjob?jk=14bf82f2c6b773d0,"₹35,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=NCR+Atleos,3.1,0-1 years,Full-time nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
IT Executive,Accor,"Mumbai, Maharashtra","Company Description

Our commitment to Diversity & Inclusion:
We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.

Why work for Accor?
We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.
By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/

Do what you love, care for the world, dare to challenge the status quo! #BELIMITLESS

Job Description

Customer Service

Responsible for efficient Management & resolving IT related issues of external as well as internal customer.

Financial

Give cost effective IT solutions.
Negotiate with vendor for best services .
Identify appropriate technologies, cost, vendors, and effective use of IT resources.

Operational

Daily checking of database back up.
Give support for all software’s like Opera, PMS, POS, Material Control, SUN etc.
Protect all servers & desktops by updating & monitoring daily antivirus status.
IT inventory inspection which is submitted by IT executive, recommend the replacement of required IT product.
Ensure that all software’s licensing are adhered to law.
Ensuring that all operating standards comply with Company and Hotel Policies and Procedures and standards.

Additional Information

Employee benefit card offering discounted rates in Accor worldwide
Learning programs through our Academies
Opportunity to develop your talent and grow within your property and across the world!
Open your way to get the talent development opportunities in Accorhotels in the future",https://in.indeed.com/viewjob?jk=ad16ef374bb856c4,"₹25,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eaff30a751d077870ddf324a72d24ea6,4.0,0-1 years,Full-time nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
